,statement,source,veracity
8610,"Says President Barack Obama’s finance team is recommending a ""1% tax on all transactions at any financial institution.""",Chain email,0
8614,"""20 million people could lose their current coverage"" … ""including our senior citizens who are on Medicare.""",U.S. Chamber of Commerce,0
8615,"""Seniors will see $500 billion in Medicare cuts to fund Obamacare.""",U.S. Chamber of Commerce,0
8617,"The Georgia Regional Transportation Authority ""concluded that light rail in Cobb County would more than double commute time and would therefore be unsuccessful in alleviating traffic congestion.""",Transportation Leadership Coalition,0
8618,"Says Marcy Kaptur has attacked his military service and training in the Air Force, showing disrespect for veterans.",Samuel Wurzelbacher,0
8619,Says Mitt Romney would deny gay people the right to adopt children.,Barack Obama,0
8620,"""Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants.""",Conservative Renewal PAC,0
8621,"""Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs.""",George LeMieux,0
8622,"Says in regard to providing ""more tax cuts for the rich,"" Bill Pascrell said, ""Republicans had great ideas. I liked some of their ideas.""",Steve Rothman,0
8623,"""When we took office, let me remind you, there was virtually no international pressure on Iran.""",Joe Biden,0
8625,"The salaries of Wisconsin’s best-educated public school teachers were ""slashed"" by Gov. Scott Walker through a recent administrative rule change.",Chain email,0
8626,"Says in March New Jersey was ""one of only eight states in the nation to lose jobs"" and ""the state with the highest loss of jobs in the nation.""",Barbara Buono,0
8627,"""When these [undocumented] students graduate from college, they're still illegal aliens. They cannot get a job.""",Terry Gorman,1
8628,"Florida has ""1,200 golf courses. I think 58 million rounds played a year in Florida. We’ve got 44 percent of all travel golf in the country here. 5 million people come here just for golf.""",Rick Scott,1
8630,"Says Jeff Reardon cut elementary school music classes, art instruction, teaching positions, basketball and volleyball programs, and he voted to raise school lunch prices.",Mike Schaufler,0
8631,"Says ""One-third of our healthcare dollars go to wasteful insurance billing and bureaucracy.""",Jennifer Williamson,1
8633,"Democrats plan to keep student loan interest rates low  ""by raising taxes on small businesses, very small businesses … the kinds of small businesses that give jobs to graduates.""",Marco Rubio,0
8634,"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.""",Charles Bass,0
8636,"Says Democratic recall opponent Tom Barrett is campaigning on ""lifting property tax"" limits.",Scott Walker,0
8638,"Jim Renacci ""voted repeatedly to end Medicare.""",Betty Sutton,0
8639,"Says George Flinn has been a ""no show"" at scheduled ""forums.""",Charlotte Bergmann,0
8640,Georgia crackdown on illegal immigration costs state farmers $400 million last year.,Charlie Flemming,0
8641,"Says when he was governor, ""we expanded participation in Virginia in early childhood programs by nearly 40 percent.""",Tim Kaine,1
8642,"Says since 2000, Austin’s ""tax burden"" rose more than 40 percent while family income rose more than 20 percent.",Dominic Chavez,1
8643,"Says ""Schaufler was the only Democrat who voted to stop"" the state’s health care reform plan.",Oregon League of Conservation Voters,0
8644,"If Congress froze the current spending level and then cut it by 2 percent annually, ""we could balance the budget in five years.""",Jamie Radtke,1
8645,"""The only time government employment has gone down during a recession has been under me.""",Barack Obama,0
8646,"Says Gov. Scott Walker approved a ""gutting"" of two tax credits that help the poor and elderly.",Gwen Moore,0
8647,"New Jersey has ""the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.""",Lou Greenwald,1
8648,Says he did not vote for Nancy Pelosi for speaker of the House.,Joe Donnelly,0
8649,"Says challenger Dominic Chavez is a ""Rick Perry Republican"" lobbyist.",Bill Spelman,0
8651,Says Austin Mayor Lee Leffingwell voted for a toll lane on MoPac.,Brigid Shea,1
8652,"Says no Austin City Council ""member lives south of"" Lady Bird Lake ""or north of 45th Street.""",Shaun Ireland,1
8653,"""We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.""",Chris Christie,1
8654,"""There has not been a Democratic woman in Congress from New Jersey in almost four decades.""",Nia Gill,1
8655,"Says that Rep. Betty Sutton ""would rather riot with Occupy (Wall Street) than stand up for Ohio families.""",National Republican Congressional Committee,0
8657,"The Obama White House recognizes a ""baby that has not been born"" for security purposes.",National Right to Life Committee,0
8658,"Says Mitt Romney ""has refused to say whether he would have vetoed or signed the Lilly Ledbetter Fair Pay Act.""",Barack Obama,1
8659,"Mitt Romney has ""proposed cutting his own taxes while raising them on 18 million working families.""",Barack Obama,1
8660,"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast.""",WrongWayRubio.com,1
8661,"Says he ""is the only candidate in the race for Clackamas County Chair who will refuse to join the Public Employees Retirement System.""",John Ludlow,1
8662,"Says Mitt Romney is proposing a ""tax cut that gives an average of $250,000 to every millionaire in this country.""",Barack Obama,1
8664,"Says Ohio law gives tax breaks ""to rich people who own private jets.""",Mike Foley,1
8666,"The congressional district for Miami-Dade and Broward counties has a ""staggering drop-out rate of almost 61 percent.""",Rudy Moise,0
8667,Says Williamson County District Attorney John Bradley reduces 36 percent of felonies to misdemeanors and hands them off to her.,Jana Duty,0
8668,"Says ""an unchecked Democratic Majority in Trenton"" is responsible for ""years of diversions"" from the state’s unemployment insurance trust fund.",Anthony Bucco,0
8669,"The U.S. economy is ""recovering slower than Europe """,Bob McDonnell,0
8673,"Says Rep. Paul Ryan’s budget proposal ""would effectively double the interest paid out on existing and future student loans.""",Loretta  Weinberg,0
8674,"""We will not ask for a tax increase to run city government.""",A C Wharton,1
8675,"""If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.""",Sheldon Whitehouse,0
8676,"Says ""I never billed a single hour of my time to the City of Portland in the last 10 years -- so, no revolving door.""",Charlie Hales,0
8677,"Says the mayor’s job ""is to make sure that if somebody is trying to build a set of water treatment plants to cure us from cryptosporidium we don’t have, we don't say yes even if CH2M Hill wants us to.""",Jefferson Smith,0
8678,Says we could have saved ourselves the cost of building the Powell Butte water reservoir.,Eileen Brady,0
8679,"Says  ""I don’t agree with Mr. Hales that we should give a sweeping break to the developers to allow them to build that infill housing without paying for those very basics.""",Jefferson Smith,1
8680,"Say that under state law, ""systems development charges can only be spent on capital investment.""",Charlie Hales,1
8681,Says she is co-owner of Celilo Group Media.,Eileen Brady,1
8682,"""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.""",Barack Obama,0
8683,"""The failed economic policies"" of President Barack Obama, the Democrats and the Federal Reserve ""are making gas prices higher while America’s economy is running on fumes.""",Eric Hovde,0
8684,"Says President Barack Obama ""added"" $6.5 trillion to the national debt in his first term, more than the $6.3 trillion added by the previous 43 presidents combined.",Chain email,0
8686,Says the oil industry subsidies that President Barack Obama is attacking don’t exist,Bill Johnson,0
8687,"""The United States already has the highest corporate tax rate in the world.""",Scott DesJarlais,1
8688,"Says she is ""saving ratepayers $6 million/year.""",Amanda  Fritz,0
8689,"Says the stimulus bill sent tax credits overseas, such as  ""tens of millions of dollars to build traffic lights in China.""",Americans for Prosperity,0
8690,"""We didn’t go out asking people"" to join the ""stand your ground"" task force.",Jennifer Carroll,0
8691,"Says the stimulus bill sent tax credits overseas, such as ""half a billion to an electric car company that created hundreds of jobs in Finland.""",Americans for Prosperity,0
8692,"Since 2009, the Ohio Republican Party has made more contacts with voters — nearly 6.6 million — than any other GOP state organization in the nation.",Kevin DeWine,1
8693,"""Over the history of Austin, it’s always gotten more expensive.""",Mike Martinez,0
8694,"Says ""in our gun laws we’re allowing domestic abusers to sidestep this ban on getting a gun. The loophole allows a convicted abuser to walk into a gun show and walk out with a gun, no questions asked.""",Frank Lautenberg,1
8695,"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",David Dooley,1
8696,U.S. Rep. Allen West wants to bring back earmarks.,Democratic Congressional Campaign Committee,0
8697,"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",Americans for Prosperity,0
8698,"Wisconsin women ""are paid 81 cents to the dollar of a man doing the same job.""",Kathleen Falk,0
8699,"""Wisconsin lost more jobs over the past 12 months than any other state.""",Barbara Buono,1
8700,The fastest-rising expense in the U.S. Defense Department is health care.,Saxby Chambliss,1
8701,"Says excessive speculation is pushing up oil prices and a recent report estimates it ""adds 56 cents to every gallon of gasoline siphoned from the pump.""",Sherrod Brown,1
8703,"""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""",American Crossroads,0
8705,"""Nobody is leaving Memphis. That's a myth.""",Joe Brown,0
8706,"""Student loan rates set to double because a Democratic-controlled Congress voted to double them.""",John Boehner,0
8707,"Before the HOPE scholarship, ""70 percent of the high school students who made 1400 or above on their SAT left the state of Georgia. Now, 70 percent of those stay in the state of Georgia.""",Nathan Deal,0
8709,"Says Wisconsin Gov. Scott Walker’s budget ""calls for raising property taxes by nearly $500 billion.""",Pat Quinn,0
8710,"Says ""Bill Pascrell voted to eliminate all estate taxes for billionaires, and I voted no.""",Steve Rothman,0
8711,"Says the Department of Homeland Security has ordered ""enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States,"" possibly to combat ""massive civil unrest"" or ""an invasion by a foreign power.""",Chain email,0
8712,"Some ""20,000 Delphi salaried retirees lost up to 70 percent of their pensions"" as a result of ""political favoritism and backroom deals.""",Michael Turner,0
8713,"""In my years in the State Legislature, I have never voted for a tax increase.""",Joseph Kyrillos,0
8714,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",National Republican Congressional Committee,0
8715,"The Wisconsin law repealed by Republicans, which allowed discriminated workers to sue in state court, ""was kind of a gravy train"" for lawyers.",Scott Walker,0
8716,"Says ""I worked with our Mayor and other commissioners to help save the school year when a budget crisis in Salem threatened to cut four weeks of the school year,"" including  negotiating with teachers to work for free.",Charlie Hales,0
8717,"""About 230,000 people that were on unemployment when I took office are not on unemployment now.""",Rick Scott,1
8718,"""Just on Jan. 1 of this year, there were 40,000 new laws put on the books in one day.""",Ron Paul,0
8720,"Under a new law, doctors performing drug-induced abortions could be charged if women don’t return to them for follow-up care",Wisconsin Medical Society,0
8721,"The average Atlanta resident ""spends an extra $924 each year in additional gasoline and wasted time.""",Citizens for Transportation Mobility,1
8722,Says President Barack Obama's parents were communists.,Samuel Wurzelbacher,0
8723,"""Personal income is growing faster in Tennessee on average than any other state in the country.""",Bill Haslam,0
8724,President Obama gave Egypt's Muslim Brotherhood one and a half billion dollars.,Barry Hinckley,0
8727,"Says legislative cuts mean Texas is ""spending on average $500 less per student.""",Donna Howard,1
8728,"A proposed U.S. Labor Department rule for children working on farms ""would even ban youth from operating a battery-powered screwdriver or a pressurized garden hose.""",Tom Rooney,0
8729,"Says George Norcross said the ""TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.""",R2RMerge,0
8730,"""The Democrat-controlled Senate, it hasn't passed a budget in more than 1,000 days.""",John Boehner,1
8731,"Says ""my advocacy questioning contracting out in Parks … delayed and altered the renewal of the Brooks contract, and reduced the number of contracted employees in Parks from over 100 to fewer than 40.""",Amanda  Fritz,0
8732,"Says bus riders subsidize the ""expensive, romanticized"" Leander-to-Austin train.",Clay Dafoe,0
8733,"""I have always said that I would be for drilling.""",Connie Mack,0
8734,"""Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.""",Facebook posts,0
8735,"Says she made a ""cold call"" and persuaded an Illinois company to relocate to Wisconsin.",Rebecca Kleefisch,0
8736,"Says ""$57,000 is the mean [income] in our state"" for a family.",Sheila Oliver,0
8737,"""We don’t allow filming inside of the City Hall unless there is a specific reason.""",H. Ford Gravitt,0
8739,"""The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3%"" between January 2009 and March 2012.",Mitt Romney,0
8743,"In the past three years, ""we've added enough new oil and gas pipeline to circle the Earth and then some.""",Barack Obama,1
8746,"""If you're earning under $100,000 a year and you commute to New York every day you pay more to the Port Authority in tolls than you pay to the state of New Jersey in income tax.""",John Wisniewski,1
8747,"The Buffett Rule ""will bring in less than $5 billion per year. ... Enough to pay one week’s interest on the national debt.""",Rob Portman,1
8748,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.""",Frank Wolf,1
8750,"Says Gov. Scott Walker signed abortion, sex education and discrimination bills ""in secret.""",Kathleen Falk,0
8751,"Says ""Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.""",Raymond Bateman,0
8752,"Ron Oakley's ""conservative leadership protected local taxpayers over government bureaucrats"" as the Water Management District’s budget decreased by ""58 percent in the four years he served on the board.""",Ron Oakley,0
8754,"""President Obama's suggested reduction in spending for next year: $0.""",Mitt Romney,1
8755,Says there is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled.,Chain email,0
8756,Says Dwight Holton has never set foot in an Oregon courtroom.,Ellen Rosenblum,0
8758,"David Dewhurst ""has never once cut one penny from the state budget.""",Ted Cruz,0
8759,"""The federal government owns tens of thousands of properties that are vacant or underused.""",Tom Graves,1
8760,"""Tourism accounts for 439,000 jobs in the state of Ohio, and visitors spend $36 billion annually.""",Mike Dovilla,1
8761,"""The Austin school district calendar lists 64 different dates for either a state-mandated test or make-up test.""",Sara Stevenson,0
8764,Says Ted Cruz represents a Chinese company found guilty of stealing blueprints from an American manufacturer.,David Dewhurst,1
8765,"Gas prices have doubled because ""Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump.""",American Energy Alliance,0
8766,"Every time the price of gasoline rises 1 cent, ""it's a billion dollars out of our economy that goes to Saudi Arabia.""",Tommy Thompson,0
8767,"""Congress as a whole is less popular than it’s been since polling was invented.""",Jim Cooper,1
8768,"""The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns.""",Jennifer Beck,1
8769,"""Large phone companies and their trade association have hired 35 registered lobbyists to influence and pass SB 271 (deregulation legislation).""",AARP,1
8770,"""The ACLU has filed a suit to end prayer from the military completely.""",Chain email,0
8771,"""Only 14 percent of Catholics agree with the Vatican's position that abortion should be illegal.""",Jon O'Brien,1
8773,"George Allen ""voted for 40,000 earmarks.""",Jamie Radtke,1
8774,"In labor negotiations with city employees, Milwaukee Mayor Tom Barrett ""demanded concessions that went beyond those mandated"" by Gov. Scott Walker’s collective bargaining law",AFSCME,0
8775,"A proposed regional transportation tax will last ""a minimum"" of 10 years, and has been approved to last longer.",Anonymous Flier,0
8776,"""We are at a 40-year low in our crime rate in our state.""",Rick Scott,1
8778,"Says President Obama's decision to not issue a permit for the Keystone XL pipeline meant ""we were denied the ability immediately to reduce prices at the pump.""",Mike Dovilla,0
8779,"""The non-partisan Congressional Budget Office concluded ObamaCare will cost the U.S. more than 800,000 jobs.""",Roger Williams,0
8780,"""Rhode Island’s exports have increased by 53 percent in the last two years.""",Lisa Tomasso,1
8781,"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",Wayne LaPierre,1
8782,Says opponent Ted Cruz has not led businesses.,Tom Leppert,1
8785,The U.S. Supreme Court has not traditionally asked a lot of questions during oral arguments.,Clarence Thomas,1
8787,"""In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.""",Facebook posts,0
8788,"""This rule could prevent children under 18 from using such tools as a power screwdriver, a milking machine or something as simple as a wheelbarrow on the family farm . . . """,Lamar Alexander,0
8789,"The ""Buffett rule"" ""raises virtually no money, maybe a day and a half of our borrowing per year.""",Barry Hinckley,1
8790,"Georgia is one of three states that ""effectively have no regulations whatsoever on lobbyists giving to legislators.""",Josh McKoon,1
8792,"Says the Pentagon has never passed a financial audit. In fact,  the Pentagon is exempt from a federal law that requires all federal agencies to complete annual audits.",Peter DeFazio,1
8793,"""It's the first time in the nation this many members have been drawn (by a Legislature) into the same districts where it wasn't a court order.""",Will Weatherford,1
8795,"Says Sen. Bill Nelson voted to spend ""$144,541 to see how monkeys react under the influence of cocaine.""",Connie Mack,0
8798,"""[O]ver 200,000 ordinary citizens were given the opportunity to identify projects they preferred.""",Metro Atlanta Voter Education Network,1
8800,"""What president has the worst record on female labor force participation? Barack Obama.""",Mitt Romney,0
8801,"Says the treasurer’s office has ""saved $37 million in management costs for the oversight of public investments.""",Ted  Wheeler,0
8802,The 2011 Legislature did not cut Texas public school funding.,Susan Combs,0
8804,"Says New Jersey Devils managing partner Jeff Vanderbeek ""took us into arbitration.""",Cory Booker,0
8805,"Says New Jersey Devils managing partner Jeff Vanderbeek ""froze all those monies during the toughest years in ‘08-’09"" and ""refused to give the charitable dollars that he was required to give by the contract.""",Cory Booker,1
8806,"Says abortion doctors are ""flying into this state, performing abortions and flying out.""",Matthew Hill,0
8807,"Sen. Sherrod Brown’s vote helped pass ""Barack Obama’s job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.""",National Republican Senatorial Committee,0
8808,President Obama's refusal to grant permits for offshore drilling is one reason gasoline prices are soaring.,Mike Huckabee,0
8809,"About 78 to 81 House Democrats ""are members of the Communist Party. ... It’s called the Congressional Progressive Caucus.""",Allen West,0
8810,Says she balanced a $10 billion budget shortfall without raising taxes.,Elizabeth Ames Jones,0
8812,"Says the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.""",Robert Menendez,1
8813,"""Our rainy day fund has gone from 89 cents to $240 million.""",John Kasich,1
8814,"Says that Mitt Romney, while he was in Arizona, said he believes the state’s SB 1070 immigration law should be the model for national immigration laws.",Charlie Gonzalez,0
8815,"The Keystone oil pipeline ""would employ 20,000 people in the United States.""",Johnny Isakson,0
8816,"""Women account for 92.3 percent of the jobs lost under Obama.""",Mitt Romney,0
8817,"""98 percent of American families"" make ""under $250,000 a year.""",Barack Obama,1
8818,"President Barack Obama ""has doubled the size of government since he took office.""",Paul Ryan,0
8819,"Says ""at the state level we're spending more on tax expenditures than we are on public safety, health care and education combined.""",Jefferson Smith,1
8820,"""Why was there no news coverage of this raid on the Arizona border? … Seizure was just five days ago. Right on the Arizona border!""",Chain email,0
8822,"Says Wisconsin women facing pay discrimination can't ""do something about it"" under bill passed by Republicans.",Kathleen Falk,0
8823,"""Lean, finely textured beef is the proper name [not pink slime], and it is a safe, widely used product.""",Gary Black,1
8825,"""General Motors is the largest corporation in the world again.""",Joe Biden,0
8826,"""The average age of members of the House of Representatives is 57 years old.""",Weston Wamp,1
8827,"""Under President Obama, domestic oil production is at an eight-year high.""",Barack Obama,1
8829,"""We gave every public employee in the state the freedom to choose whether or not they want to be in a union.""",Scott Walker,0
8830,"Says in the governor’s proposed budget ""the use of that, what is called one-shots, is a 500 percent increase over the last Corzine budget.""",John Burzichelli,0
8831,"An effort to repeal voting-reform legislation would be ""the first time in Ohio history where a bill has been passed to stop a referendum.""",Eric Kearney,1
8832,"""On most things except witch trials, Virginia will always have been first.""",Morgan Griffith,0
8833,"""As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it.""",Nathan Deal,1
8834,"Says Obama health reform law denies millions ""access to affordable insurance.""",Eric Hovde,0
8835,"Says under the Affordable Care Act, New Jersey’s ""new (Medicaid) enrollees won’t qualify for the matching federal funds simply because we added them onto the rolls before 2014.""",Amy Handlin,0
8838,"Adding ethanol to gas ""raises food costs.""",James Durkan,1
8839,Says Obama has failed to pass a budget.,Mitt Romney,0
8841,Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walker’s bill stripping collective bargaining of state employees.,AFSCME,0
8842,"""Republicans in Congress refuse to list a single tax loophole they are willing to close.""",Barack Obama,1
8843,"""We were the No. 1 job creator in America in February and we are now the No. 4 job creator in the last year.""",John Kasich,1
8844,"""Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.""",Lenny Curry,0
8845,"""In his very first budget, (Milwaukee) Mayor Tom Barrett broke his pledge to keep a lid on property taxes and has continued increasing taxes and fees ever since.""",Republican Governors Association,0
8846,"""To get out of the (teachers) union, you pay 85 percent of $731. Then you're out of the union, but you've got to pay it every year, also required by statute. That’s called a representation fee.""",Chris Christie,1
8847,"Sherrod Brown opposed blocking a new EPA emissions rule, ""despite acknowledging that the EPA's cap-and-trade regulations are ‘burdensome’ and could harm economic growth in Ohio.""",Josh Mandel,0
8848,Says Jeff Wentworth was the only Republican to vote against the Texas measure requiring women to have a sonogram before receiving an abortion.,Donna Campbell,1
8849,"""This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants].""",Doreen Costa,1
8850,Says Barack Obama has played over 90 rounds of golf as president.,David Dewhurst,1
8851,"Says Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.""",Barack Obama,1
8852,"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.""",Mitt Romney,0
8853,"If the Supreme Court throws out the federal health care law, it ""would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress.""",Barack Obama,0
8854,Says Texas retained the right to have a navy when it joined the United States.,Chain email,0
8856,"Says when New Jersey adopted guaranteed coverage and cost provisions without a mandate individual health insurance market rates ""doubled or tripled"" and enrollment dropped from 180,000 people to 80,000 people.",Donald Verrilli,1
8857,"Tim Kaine ""reduced higher education funding by 25 percent when he was governor, driving up tuition...""",Scott Lingamfelter,1
8858,"In ""the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.""",Brigid Shea,1
8859,"""More children die in agricultural jobs than in any other industry.""",Rashad Taylor,1
8860,"""I think it’s seven or eight of the California system of universities don’t even teach an American history course. It’s not even available to be taught.""",Rick Santorum,0
8861,"The Florida Department of Agriculture’s website FreshFromFlorida.com can be used ""to get a permit to carry a loaded hidden gun without ever leaving your house.""",Brady Campaign to Prevent Gun Violence,0
8862,"Says ""streetcars carry more people than buses … you attract more riders who don't ride transit now, and actually the operating costs are not any greater than the bus.""",Charlie Hales,1
8863,"Says Ohio Treasurer Josh ""Mandel first claimed bank fraud in June 2010 but did nothing for more than a year while raising money for his (Republican) Senate campaign.""",Ohio Democratic Party,0
8864,"Says she ""created the first felony deferred prosecution program for nonviolent first-offenders"" in Texas.",Rosemary Lehmberg,0
8865,"""We have the lowest per-capita spending of any state in the nation"" except for South Dakota.",Stacey Abrams,1
8869,"Last year, ""Exxon pocketed nearly $4.7 million every hour.""",Barack Obama,1
8870,"Says Barack Obama's health care law ""will be the biggest job-killer ever.""",Rick Scott,0
8871,"""And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state.""",New Jersey Republican State Committee,0
8872,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",Eric Johnson,0
8873,"""Last year, we produced 14 percent less oil on public lands than we did the year before.""",Rob Portman,1
8874,"Says ""new estimates from the Congressional Budget Office conclude the final price-tag"" for the health care law ""will exceed $2 trillion — more than double what was initially reported.""",Frank LoBiondo,0
8876,"Says ""for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.""",Jeff Kruse,0
8877,"A bill that could restrict free speech when the president is nearby was signed by President Barack Obama ""in secret.""",Andrew Napolitano,0
8878,"""We've had the same leadership in the Travis County DA's office for 30 years.""",Charlie Baird,0
8880,"Says President Obama and his allies in Congress gave ""power"" to control Medicare patients’ health care decisions to ""a commission of 15 unelected bureaucrats in Washington.""",Marsha Blackburn,0
8881,"""Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off – you’re 15 percent more likely to die in that car.""",Lars Larson,0
8882,"""Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate.""",Rick Santorum,1
8883,"Says Gloria Steinem once called Kay Bailey Hutchison a ""female impersonator.""",Michelle  Malkin,1
8885,"""Medicare will be bankrupt in nine years.""",Pat Boone,0
8886,"""Right now we have sufficient reserves to take care of Tennessee's lottery scholarship students for a few years more.""",Dolores Gresham,0
8887,Says you need a photo ID to purchase Sudafed in Texas.,Rick Perry,1
8888,"Says the Wisconsin Republican Party tweeted ""Happy International Women's Day! You ladies should get paid less and not be able to make health care decisions.""",Graeme Zielinski,0
8889,"Says U.S. Rep. Connie Mack ""took seven and a half years to finish college.""",George LeMieux,0
8890,"Says a Barack Obama ""black imposter"" joke got a standing ovation at San Angelo rodeo.",Chain email,0
8892,"Says Congressman Bill Pascrell ""voted to remove the public option from the Affordable Health Care Act.""",Steve Rothman,0
8893,"""The state [food stamp call center] program is administered from foreign shores.""",Nan Orrock,0
8894,"""The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.""",Ohio Federation of Teachers,0
8895,"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education.""",Harold Metts,0
8897,"President Barack Obama ""reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.""",Barack Obama,1
8898,"""It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.""",Jimmie T. Smith,0
8899,"New federal projections estimate that the health care overhaul ""will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.""",Tom Price,0
8900,"Says that while President Barack Obama promised to ""work with your employer to lower your premiums by $2,500 per family per year,"" his health care law ""raises premiums in the individual market by $2,100 per family.""",Senate Republican Conference,0
8902,"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state’s unemployment rate was ""the lowest in the country for 40 consecutive months.""",Tommy Thompson,0
8903,"Says under the new health care law ""the patient-doctor relationship will be eliminated.""",Joseph Kyrillos,0
8904,"The CBO says the cost of health care reform will rise to $1.8 trillion, ""increasing the price to far greater than the $900 billion"" originally projected.",Robert Hurt,0
8905,"""The poorest in this country are women.""",Marcy Kaptur,1
8906,"The changes to Georgia’s tax and fee structure ""is an overall tax cut.""",Brian Robinson,1
8907,"Says a study shows that children who live with a biological parent and the parent's boyfriend or girlfriend ""have a 20 times greater chance of being sexually abused.""",Glenn Grothman,1
8909,"""Every poll you see, the overwhelming majority of people want [E-Verify].""",Peter  Palumbo,1
8911,"""More than half of the births in Texas are paid for by Medicaid.""",Elliott Naishtat,1
8913,"Says only seven percent of 2009’s stimulus bill went toward transportation projects, yet they created over one-third of the bill’s total jobs.",Peter DeFazio,0
8915,Says former U.S. Rep. Carol Shea-Porter refused to host town hall meetings during her time in Congress.,New Hampshire Republican Party,0
8917,"""And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years.""",Jim Moran,0
8918,"Says ""New Jersey has the most educated population of all the states in this country.""",Sheila Oliver,1
8920,"""New business startups are at the lowest levels in 30 years.""",John Boehner,1
8921,"""When we passed (the stand your ground law), we said it portends horrific events when people's lives were put into these situations.""",Arthenia Joyner,1
8922,Says Romney flip-flopped on abortion.,American Bridge 21st Century,1
8924,"President Barack Obama is ""ending Medicare as we know it.""",Mitt Romney,0
8925,"Says ""we got a chance to pass what I think is Oregon's first human trafficking bill which has increased by 66 percent the calls to the human trafficking hotline.""",Jefferson Smith,0
8926,"""New Jersey loses net, that is minus those who come into the state, 30,000 students a year.""",Susan Cole,1
8927,Says gas costs $4.50 a gallon.,David Dewhurst,0
8928,Says Lake Erie contains more native fish than all the other Great Lakes combined.,Marcy Kaptur,1
8929,"The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium.",Bloggers,0
8932,"""Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?""",Ted Cruz,0
8934,"""Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.""",Bill Pascrell,0
8935,"""This bill allows Virginia to join about 23 other states that have an ultrasound procedure"" before an abortion.",Bob McDonnell,1
8938,"""Every 1 percent increase in the cost of health insurance today causes about 30,000 Georgians to be uninsured.""",Judson Hill,0
8939,"""Make no mistake -- Sherrod Brown is one of the main D.C. politicians responsible for Ohio jobs moving to China.""",Josh Mandel,0
